Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2025,'060290011',105,  ,KG,0,16087301,1501857,0,1830955,176897,0,1786808,175228,0,1237231,116259,0,590212,53052,0,1200327,108359,0,785360,68198,0,833564,76346,0,906319,86974,0,1075509,100579,0,1680942,155404,0,2205398,201948,0,1954676,182613
2,2025,'060290019',105,  ,KG,0,781718,49430,0,52945,4465,0,26070,1742,0,22500,1370,0,296718,18262,0,10200,733,0,29250,1774,0,22520,1204,0,23000,1244,0,182020,11289,0,41315,2941,0,48000,2664,0,27180,1742
2,2025,'060290019',106,  ,KG,0,32360,2106,0,0,0,0,6400,493,0,0,0,0,17560,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,598,0,0,0
2,2025,'060290019',207,  ,KG,0,798719,86626,0,148750,14707,0,24000,1651,0,24000,1667,0,46123,3138,0,48000,3371,0,1000,535,0,115473,17002,0,104600,11615,0,101980,10098,0,57400,8512,0,80000,10290,0,47393,4040
2,2025,'060290019',210,  ,KG,0,130330,63472,0,9000,4133,0,4000,1875,0,27600,12315,0,5200,2457,0,16600,7633,0,13180,6245,0,12900,6460,0,5000,2744,0,2400,1294,0,16500,8690,0,5600,3161,0,12350,6465
2,2025,'060290019',304,  ,KG,0,135711,64199,0,7762,3592,0,6985,3669,0,4842,2510,0,25209,10381,0,26144,12626,0,7762,3322,0,4698,2823,0,0,0,0,18796,9115,0,12263,6193,0,21250,9968,0,0,0
2,2025,'060290090',103,  ,KG,0,32807,71478,0,102,538,0,57,323,0,18307,39726,0,9419,18400,0,0,0,0,0,0,0,0,0,0,213,1056,0,2175,2305,0,1456,3887,0,1078,5243,0,0,0
2,2025,'060290090',105,  ,KG,0,2185221,1747125,0,147869,123233,0,151004,107034,0,216514,154766,0,255692,186324,0,298501,225142,0,230212,235480,0,130706,95059,0,149667,75332,0,163684,127318,0,127164,148136,0,158367,141524,0,155841,127777
2,2025,'060290090',106,  ,KG,0,3186574,4836428,0,214512,369458,0,248197,377365,0,278554,376276,0,314559,439175,0,297570,451993,0,279898,427970,0,274966,423347,0,216620,348245,0,262605,399600,0,256603,418362,0,303969,397997,0,238521,406640
2,2025,'060290090',110,  ,KG,0,99540,236669,0,4517,12299,0,4948,10333,0,5231,13694,0,11721,12918,0,9217,27553,0,15215,40615,0,6978,18730,0,5059,14313,0,14443,32749,0,8098,18214,0,10501,25109,0,3612,10142
2,2025,'060290090',111,  ,KG,0,359232,609025,0,18441,27202,0,20578,39845,0,40104,85733,0,49341,77507,0,43369,71519,0,32784,56833,0,43705,60614,0,10844,20018,0,40990,58585,0,18060,44267,0,18688,30232,0,22328,36670
2,2025,'060290090',112,  ,KG,0,41084,151647,0,2515,9616,0,1777,7336,0,2885,10772,0,3508,12183,0,2474,9021,0,2801,10254,0,6302,16959,0,4368,19423,0,4593,17476,0,3673,13805,0,3337,13289,0,2851,11513
2,2025,'060290090',113,  ,KG,0,11487,35696,0,613,1521,0,295,972,0,1260,3912,0,2043,6424,0,1778,5315,0,1288,3945,0,655,2296,0,620,1893,0,838,2687,0,785,3085,0,917,2433,0,395,1213
2,2025,'060290090',117,  ,KG,0,126398,87468,0,15501,7230,0,6174,5745,0,12244,8466,0,11251,8279,0,16518,10430,0,7473,7338,0,15669,8937,0,5697,4159,0,2282,5993,0,6757,6782,0,15774,8949,0,11058,5160
